style,task,n,boss_mean,boss_std,boss_min,boss_max,worker_mean,worker_std,worker_min,worker_max,coder_mean,writer_mean,reviewer_mean
affiliative,long,5,53829.0,6560.0,47115,64795,43461.0,9561.0,35844,60186,12143.0,14600.0,16719.0
affiliative,short,5,51232.0,1703.0,48199,52243,45917.0,1640.0,43173,47470,9036.0,17664.0,19217.0
authoritative,long,5,72004.0,10750.0,58208,84330,64795.0,16373.0,45117,80572,24764.0,14146.0,25885.0
authoritative,short,5,56555.0,7221.0,44304,63244,48853.0,9032.0,33121,56205,10046.0,18243.0,20565.0
baseline,long,5,75843.0,41649.0,55206,150295,59197.0,31693.0,44214,115870,22830.0,16881.0,19486.0
baseline,short,5,55960.0,9004.0,41964,64841,52630.0,17320.0,32248,80095,15007.0,17628.0,19996.0
coaching,long,5,84952.0,12723.0,65114,96576,89561.0,38054.0,48922,151596,25376.0,28263.0,35923.0
coaching,short,5,86099.0,31949.0,59376,129355,79128.0,22167.0,54190,112421,26426.0,25115.0,27587.0
coercive,long,5,60283.0,8084.0,50291,69645,54941.0,16031.0,39371,75753,19713.0,14878.0,20350.0
coercive,short,5,47481.0,1195.0,45695,48766,42666.0,993.0,41403,43815,8311.0,16295.0,18060.0
democratic,long,5,107812.0,20986.0,83224,131506,98417.0,17573.0,76836,117272,24641.0,35678.0,38098.0
democratic,short,5,84833.0,19467.0,59384,112726,93495.0,34366.0,64971,151412,29070.0,28399.0,36027.0
pacesetting,long,5,63471.0,10441.0,51214,71888,56241.0,14321.0,39742,67053,12759.0,20343.0,23140.0
pacesetting,short,5,55632.0,32470.0,32166,111810,66811.0,48758.0,24314,137262,19839.0,21225.0,25746.0
