Metric,Task,Within-cond SD,Observed range,MDE (80% power),MDE in SD units,Observed / MDE,Power at observed range,Detectable?
Overall quality,short,0.306,0.5,0.703,2.3,0.71,0.49,no
Overall quality,long,0.499,1.05,1.148,2.3,0.91,0.75,no
Accuracy (judge),short,0.27,0.6,0.621,2.3,0.97,0.78,no
Accuracy (judge),long,0.694,1.6,1.597,2.3,1.0,0.82,yes
Completeness (judge),short,0.515,0.4,1.185,2.3,0.34,0.11,no
Completeness (judge),long,0.606,0.8,1.393,2.3,0.57,0.28,no
Cohesion (judge),short,0.618,0.6,1.422,2.3,0.42,0.15,no
Cohesion (judge),long,0.441,0.6,1.014,2.3,0.59,0.3,no
Quality (judge),short,0.192,0.4,0.441,2.3,0.91,0.73,no
Quality (judge),long,0.717,1.6,1.649,2.3,0.97,0.81,no
Trap catch rate (judge),short,0.163,0.267,0.359,2.2,0.74,0.46,no
Trap catch rate (judge),long,0.139,0.075,0.321,2.3,0.23,0.06,no
Team satisfaction (survey),short,0.206,0.744,0.495,2.4,1.5,1.0,yes
Team satisfaction (survey),long,0.124,0.355,0.286,2.3,1.24,0.96,yes
Total tokens (logged),short,42354.593,122457.2,97415.563,2.3,1.26,0.97,yes
Total tokens (logged),long,50763.289,155428.2,116755.565,2.3,1.33,0.98,yes
Duration s (logged),short,35.677,106.476,82.057,2.3,1.3,0.97,yes
Duration s (logged),long,50.63,157.292,116.449,2.3,1.35,0.99,yes
