style,task,phase,mean_tokens,mean_share,mean_share_pct
affiliative,long,Briefing,2672.0,0.0279,2.8
affiliative,long,Planning,21070.0,0.2201,22.0
affiliative,long,Coding,19500.0,0.2044,20.4
affiliative,long,Writing,21064.0,0.2207,22.1
affiliative,long,Review,10365.0,0.1086,10.9
affiliative,long,Revision,22620.0,0.2182,21.8
affiliative,short,Briefing,2294.0,0.0236,2.4
affiliative,short,Planning,17506.0,0.1803,18.0
affiliative,short,Coding,14488.0,0.1492,14.9
affiliative,short,Writing,15476.0,0.1593,15.9
affiliative,short,Review,7409.0,0.0762,7.6
affiliative,short,Revision,39976.0,0.4113,41.1
authoritative,long,Briefing,2815.0,0.0213,2.1
authoritative,long,Planning,23716.0,0.1803,18.0
authoritative,long,Coding,23043.0,0.1753,17.5
authoritative,long,Writing,24560.0,0.1866,18.7
authoritative,long,Review,12069.0,0.0914,9.1
authoritative,long,Revision,50596.0,0.3451,34.5
authoritative,short,Briefing,2515.0,0.0244,2.4
authoritative,short,Planning,19540.0,0.1899,19.0
authoritative,short,Coding,16212.0,0.1573,15.7
authoritative,short,Writing,17566.0,0.1703,17.0
authoritative,short,Review,8665.0,0.0839,8.4
authoritative,short,Revision,40911.0,0.3742,37.4
baseline,long,Briefing,2455.0,0.0209,2.1
baseline,long,Planning,23124.0,0.1993,19.9
baseline,long,Coding,42415.0,0.2677,26.8
baseline,long,Writing,30732.0,0.2328,23.3
baseline,long,Review,14838.0,0.1138,11.4
baseline,long,Revision,21476.0,0.1655,16.6
baseline,short,Briefing,2075.0,0.02,2.0
baseline,short,Planning,17940.0,0.1734,17.3
baseline,short,Coding,20259.0,0.192,19.2
baseline,short,Writing,18310.0,0.175,17.5
baseline,short,Review,9309.0,0.0884,8.8
baseline,short,Revision,40696.0,0.3512,35.1
coaching,long,Briefing,2859.0,0.0176,1.8
coaching,long,Planning,23748.0,0.1454,14.5
coaching,long,Coding,28247.0,0.1696,17.0
coaching,long,Writing,26829.0,0.1635,16.4
coaching,long,Review,13182.0,0.0805,8.0
coaching,long,Revision,79649.0,0.4234,42.3
coaching,short,Briefing,2548.0,0.0167,1.7
