style,role,mean_satisfaction,sd_satisfaction
coercive,Coder,4.5168,0.4262614742671971
coercive,Writer,4.2833,0.4846623223097361
coercive,Reviewer,4.3167,0.5582170127587779
authoritative,Coder,4.9666,0.07041338256641581
authoritative,Writer,4.6999,0.37521355400772916
authoritative,Reviewer,4.9833,0.05281003692481184
affiliative,Coder,4.9666,0.07041338256641576
affiliative,Writer,4.8832,0.2087352389990726
affiliative,Reviewer,4.9166,0.21166598425086822
democratic,Coder,4.6667000000000005,0.3767634241507233
democratic,Writer,4.75,0.34473113516994
democratic,Reviewer,4.933400000000001,0.140405128111476
pacesetting,Coder,4.6333,0.36678120938177244
pacesetting,Writer,4.5999,0.516383460015692
pacesetting,Reviewer,4.7001,0.32201913331698506
coaching,Coder,4.933400000000001,0.1404051281114762
coaching,Writer,4.933400000000001,0.14040512811147618
coaching,Reviewer,4.7667,0.35314115843070143
baseline,Coder,4.7,0.32203070937067124
baseline,Writer,4.8334,0.3239036893892999
baseline,Reviewer,4.816599999999999,0.30879702071101645
