phase,task,analyzer,mean_compound
Briefing,short,vader,0.9444
Planning,short,vader,0.8087
Coding,short,vader,0.7642
Writing,short,vader,0.675
Review,short,vader,0.5867
Revision,short,vader,0.6929
Briefing,long,vader,0.8949
Planning,long,vader,0.6853
Coding,long,vader,0.6035
Writing,long,vader,0.5819
Review,long,vader,0.7893
Revision,long,vader,0.6102
Briefing,pooled,vader,0.9196
Planning,pooled,vader,0.747
Coding,pooled,vader,0.6838
Writing,pooled,vader,0.6285
Review,pooled,vader,0.688
Revision,pooled,vader,0.6516
Briefing,short,roberta,0.2717
Planning,short,roberta,0.2965
Coding,short,roberta,0.2447
Writing,short,roberta,0.244
Review,short,roberta,-0.0004
Revision,short,roberta,0.2133
Briefing,long,roberta,0.192
Planning,long,roberta,0.2403
Coding,long,roberta,0.2197
Writing,long,roberta,0.2264
Review,long,roberta,0.0424
Revision,long,roberta,0.2824
Briefing,pooled,roberta,0.2318
Planning,pooled,roberta,0.2684
Coding,pooled,roberta,0.2322
Writing,pooled,roberta,0.2352
Review,pooled,roberta,0.021
Revision,pooled,roberta,0.2478
