style,task,quality_mean,total_tokens,duration_seconds,survey_team_mean
coercive,long,3.9,187680.2,254.30599999999998,4.589
coercive,short,2.55,131833.2,152.71599999999998,4.1558
authoritative,long,4.3,217174.8,299.294,4.911
authoritative,short,2.65,153633.0,180.01,4.8556
affiliative,long,3.25,159157.4,225.75,4.9444
affiliative,short,2.95,141287.2,167.58800000000002,4.9
democratic,long,3.85,314585.6,383.04200000000003,4.8556
democratic,short,3.05,254290.4,254.63600000000002,4.711399999999999
pacesetting,long,4.1,191209.6,255.61400000000003,4.6556
pacesetting,short,2.85,189414.4,198.19400000000002,4.6334
coaching,long,4.05,260968.4,315.87399999999997,4.8668
coaching,short,2.85,244775.4,259.192,4.889
baseline,long,4.1,214781.6,276.982,4.8
baseline,short,2.9,168751.4,200.046,4.7668
