agent,style,min_tokens,mean_tokens,max_tokens
Boss,coercive,2029,7924.0,20886
Boss,authoritative,2467,9594.0,24775
Boss,affiliative,2240,7959.0,16228
Boss,democratic,2124,12509.0,33793
Boss,pacesetting,2068,8758.0,24320
Boss,coaching,2441,11716.0,28600
Boss,baseline,1998,9985.0,36860
Coder,coercive,2388,6092.0,15842
Coder,authoritative,2989,7567.0,18549
Coder,affiliative,2569,5295.0,9346
Coder,democratic,2659,9261.0,39767
Coder,pacesetting,2197,6520.0,13618
Coder,coaching,2888,8931.0,27718
Coder,baseline,2808,7883.0,22346
Writer,coercive,2703,5995.0,13362
Writer,authoritative,3271,6748.0,11043
Writer,affiliative,3008,6205.0,11354
Writer,democratic,3059,10679.0,26517
Writer,pacesetting,2552,7698.0,19147
Writer,coaching,3267,9532.0,19063
Writer,baseline,3070,7502.0,23422
Reviewer,coercive,3096,7113.0,14569
Reviewer,authoritative,3554,8602.0,17020
Reviewer,affiliative,3374,6911.0,11257
Reviewer,democratic,3525,11956.0,27413
Reviewer,pacesetting,2894,8730.0,20433
Reviewer,coaching,3670,10950.0,22910
Reviewer,baseline,3360,8583.0,25935
