feature,coefficient
latitude,-3.2648348074760567
uv_index,2.9363246718475415
pressure_mb,-2.586207555581554
humidity,-1.477622132253143
air_quality_PM2.5,-0.6552286280216488
gust_kph,0.6481856232923001
visibility_km,0.642386595820235
air_quality_Ozone,0.6358309021743082
air_quality_us-epa-index,0.6294019408971175
air_quality_gb-defra-index,0.5288941958705716
air_quality_Sulphur_dioxide,-0.48861635582628066
wind_kph,-0.40457501613655933
precip_mm,0.36227911494620896
air_quality_PM10,0.2689725311299571
air_quality_Nitrogen_dioxide,-0.2607988530271046
cloud,-0.1607315036178314
air_quality_Carbon_Monoxide,0.13096697785481792
wind_degree,-0.0441751837298545
longitude,-0.034549501813552375
moon_illumination,0.030673851448751236
