feature,coefficient,abs_coefficient
pressure_in,-12.383618762438246,12.383618762438246
pressure_mb,9.770563061008378,9.770563061008378
wind_kph,-6.525403863323052,6.525403863323052
wind_mph,6.185790874071198,6.185790874071198
latitude,-3.3096039652138654,3.3096039652138654
gust_kph,3.1320472647115647,3.1320472647115647
uv_index,2.8246076807441565,2.8246076807441565
gust_mph,-2.581327384456045,2.581327384456045
precip_mm,2.2631733948602757,2.2631733948602757
precip_in,-1.9133729476230936,1.9133729476230936
humidity,-1.4989760211284255,1.4989760211284255
visibility_km,1.0902593853949165,1.0902593853949165
air_quality_us-epa-index,0.6619013416127781,0.6619013416127781
air_quality_PM2.5,-0.6601294712587187,0.6601294712587187
air_quality_Ozone,0.5819745587190545,0.5819745587190545
air_quality_Sulphur_dioxide,-0.5127666858645128,0.5127666858645128
air_quality_gb-defra-index,0.5065826338013951,0.5065826338013951
visibility_miles,-0.4840508538010827,0.4840508538010827
last_updated_epoch,-0.42895072017099206,0.42895072017099206
air_quality_PM10,0.2716546007307425,0.2716546007307425
air_quality_Nitrogen_dioxide,-0.2329486087749728,0.2329486087749728
cloud,-0.21105660281610517,0.21105660281610517
air_quality_Carbon_Monoxide,0.05671517120163163,0.05671517120163163
wind_degree,-0.03624255349724138,0.03624255349724138
moon_illumination,0.033975506533544225,0.033975506533544225
longitude,0.007703643244550989,0.007703643244550989
