Feature,Type
latitude,Numeric
longitude,Numeric
last_updated_epoch,Numeric
wind_mph,Numeric
wind_kph,Numeric
wind_degree,Numeric
pressure_mb,Numeric
pressure_in,Numeric
precip_mm,Numeric
precip_in,Numeric
humidity,Numeric
cloud,Numeric
visibility_km,Numeric
visibility_miles,Numeric
uv_index,Numeric
gust_mph,Numeric
gust_kph,Numeric
air_quality_Carbon_Monoxide,Numeric
air_quality_Ozone,Numeric
air_quality_Nitrogen_dioxide,Numeric
air_quality_Sulphur_dioxide,Numeric
air_quality_PM2.5,Numeric
air_quality_PM10,Numeric
air_quality_us-epa-index,Numeric
air_quality_gb-defra-index,Numeric
moon_illumination,Numeric
