Rank,City,Country,Avg_Temp
1,Ar Riyadh,Saudi Arabien,45.0
2,Kuwait,Kuwait,44.4
3,Morocco City,Marrocos,40.3
4,Krasnyy Turkmenistan,Turkménistan,37.8
5,Yanngwa,Myanmar,33.21
6,Doha,Qatar,32.43346303501946
7,Abu Dhabi,United Arab Emirates,32.27360931435964
8,Phnom Penh,Cambodia,32.05805194805195
9,Bangkok,Thailand,31.964637305699483
10,Muscat,Oman,31.817723156532985
11,Rangoon,Myanmar,31.61661237785016
12,Khartoum,Sudan,31.474837872892344
13,Djibouti,Djibouti,31.373896103896104
14,City Of San Marino,San Marino,31.3
15,Dhaka,Bangladesh,31.254663212435233
16,Kuwait City,Kuwait,30.94396887159533
17,Riyadh,Saudi Arabia,30.731088082901557
18,Kuala Lumpur,Malaysia,30.630958549222797
19,Nan,Thailand,30.53027166882277
20,Yangon,Myanmar,30.52193396226415
21,Manila,Philippines,30.48430609597925
22,New Delhi,India,30.333937823834194
23,Norman Gardens,Jamaica,30.33055555555556
24,Jakarta,Indonesia,30.327425614489
25,Kiyabo,Philippines,30.3
26,Colombo,Sri Lanka,30.236481241914618
27,Singapore,Singapore,29.975937904269085
28,Surabaya,Indonesia,29.950000000000003
29,Ho Chi Minh City,Vietnam,29.95
30,Phnum Penh,Cambodia,29.85
31,Achelap,Palau,29.816666666666666
32,Yaounde,Cameroon,29.79375
33,Manama,Bahrain,29.720181112548513
34,-Kingdom,火鸡,29.7
35,Bandar Seri Begawan,Brunei Darussalam,29.58456549935149
36,Aakip,Palau,29.51
37,N'djamena,Chad,29.293669250645994
38,Namawbin,Myanmar,29.0625
39,Niamey,Niger,28.997412677878398
40,S. Manian,Vietnam,28.935714285714283
41,Koror,Palau,28.934615384615384
42,Bali,Indonesia,28.9
43,Victoria,Seychelles Islands,28.855844155844157
44,Funafuti,Tuvalu,28.841267787839584
45,Baghdad,Iraq,28.833850129198968
46,Pathein,Myanmar,28.80625
47,Felidhoo,Maldives,28.79705882352941
48,Mogadishu,Somalia,28.776523994811935
49,Islamabad,Pakistan,28.615434500648508
50,Abazu,Myanmar,28.6125
51,Ivory,Madagascar,28.604803493449783
52,Vientiane,Lao People's Democratic Republic,28.55
53,Male,Maldives,28.55
54,Juba,Sudan,28.39974025974026
55,Majuro,Marshall Islands,28.271280724450197
56,Palikir,Micronesia,28.257272727272724
57,Porto-Novo,Benin,28.156865284974092
58,Airai,Palau,28.063072776280322
59,Tarawa,Kiribati,28.047081712062255
60,Bournemouth Gardens,Jamaica,27.972727272727273
61,Dhidhdhoo,Maldives,27.910490463215258
62,Ouagadougou,Burkina Faso,27.875420439844763
63,Newport East,Jamaica,27.78
64,Moldova,Polônia,27.7
65,Hanoi,Vietnam,27.65945595854922
66,Bangui,Central African Republic,27.609715025906738
67,Honiara,Solomon Islands,27.472574385510995
68,Mexico (Grupo Mexico),Mexique,27.4
69,Kingstown,Saint Vincent and the Grenadines,27.236186770428013
70,Accra,Ghana,27.20090439276486
71,Lome,Togo,27.1
72,Saint George's,Grenada,27.070664928292047
73,Castries,Saint Lucia,27.025129533678758
74,Meyungs,Palau,27.0
75,Bridgetown,Barbados,26.996627756160834
76,Abuja,Nigeria,26.96157826649418
77,Port Moresby,Papua New Guinea,26.915782664941787
78,Port Royal,Jamaica,26.871666666666666
79,Malabo,Equatorial Guinea,26.862144702842375
80,Port Louis,Mauritius,26.697797927461142
81,Moroni,Comoros,26.668693402328593
82,Palau,USA United States of America,26.65
83,Libreville,Gabon,26.63445595854922
84,Basseterre,Saint Kitts and Nevis,26.59935149156939
85,Carreria,Paraguay,26.564
86,Bamako,Mali,26.557383419689117
87,Roseau,Dominica,26.520286085825745
88,Laos,Indonesia,26.51738002594034
89,Adkip,Palau,26.505000000000003
90,Mombasa,Kenya,26.5
91,Dili,Timor-Leste,26.459167750325097
92,Brazzaville,Congo,26.364025974025974
93,Tripoli,Libya,26.35
94,Ban Lom,Vietnam,26.342822384428224
95,Saint John's,Antigua and Barbuda,26.31326397919376
96,Kingston,Jamaica,26.274832214765098
97,Kinshasa,Democratic Republic of Congo,26.250129870129868
98,Conakry,Guinea,26.079792746113988
99,Apia,Samoa,26.078226857887874
100,Luanda,Angola,25.876455368693403
101,Freetown,Sierra Leone,25.86844155844156
102,Monrovia,Liberia,25.824870466321244
103,Bujumbura,Burundi,25.55426356589147
104,Panama City,Panama,25.52285714285714
105,Douala,Cameroon,25.470833333333335
106,Ngaoundere,Cameroon,25.3938679245283
107,Bissau,Guinea-Bissau,25.279015544041453
108,Cairo,Egypt,25.278858625162126
109,Maputo,Mozambique,25.217335058214747
110,Port Vila,Vanuatu,25.201423027166882
111,Grenada,USA United States of America,25.2
