Rank,City,Country,Max_Temp
1,Suva,Fiji Islands,79.3
2,Kuwait City,Kuwait,49.2
3,Baghdad,Iraq,49.1
4,Djibouti,Djibouti,47.1
5,Abu Dhabi,United Arab Emirates,46.4
6,Doha,Qatar,46.3
7,Riyadh,Saudi Arabia,46.3
8,Muscat,Oman,46.3
9,Manama,Bahrain,45.3
10,Islamabad,Pakistan,45.0
11,Ar Riyadh,Saudi Arabien,45.0
12,N'djamena,Chad,45.0
13,New Delhi,India,44.8
14,Kuwait,Kuwait,44.4
15,Khartoum,Sudan,44.2
16,Dushanbe,Tajikistan,43.2
17,Niamey,Niger,43.0
18,Ashgabat,Turkmenistan,42.5
19,Cairo,Egypt,42.4
20,Damascus,Syria,42.3
21,Tashkent,Uzbekistan,42.3
22,Dhaka,Bangladesh,42.2
23,Bamako,Mali,42.0
24,Ouagadougou,Burkina Faso,41.5
25,Ivory,Madagascar,41.4
26,Juba,Sudan,41.4
27,Skopje,Macedonia,41.4
28,Amman,Jordan,41.1
29,Nicosia,Cyprus,41.1
30,Bogot,Bulgaria,40.9
31,Belgrade,Serbia,40.7
32,Tunis,Tunisia,40.6
33,Morocco City,Marrocos,40.3
34,Yaren,Turkey,40.3
35,Podgorica,Montenegro,40.2
36,Bucharest,Romania,40.2
37,Bishkek,Kyrghyzstan,40.1
38,Ban Lom,Vietnam,40.0
39,Phnom Penh,Cambodia,39.9
40,Tehran,Iran,39.9
41,Abuja,Nigeria,39.4
42,Athens,Greece,39.3
43,Yerevan,Armenia,39.3
44,Bangkok,Thailand,39.3
45,Nan,Thailand,39.3
46,Hanoi,Vietnam,39.3
47,Tirana,Albania,39.2
48,Canberra,Australia,39.1
49,Jerusalem,Israel,39.0
50,Zagreb,Croatia,38.8
51,Madrid,Spain,38.7
52,Gaborone,Botswana,38.4
53,Yangon,Myanmar,38.4
54,Beijing,China,38.3
55,Algiers,Algeria,38.2
56,Bissau,Guinea-Bissau,38.0
57,Bangui,Central African Republic,37.9
58,Krasnyy Turkmenistan,Turkménistan,37.8
59,Kinshasa,Democratic Republic of Congo,37.8
60,Rome,Italy,37.7
61,Vatican City,Vatican City,37.7
62,Brazzaville,Congo,37.5
63,Pathein,Myanmar,37.5
64,Lusaka,Zambia,37.4
65,Tbilisi,Georgia,37.4
66,Namawbin,Myanmar,37.4
67,Sofia,Bulgaria,37.3
68,Ankara,Turkey,37.3
69,Rangoon,Myanmar,37.3
70,Maputo,Mozambique,37.3
71,Sarajevo,Bosnia and Herzegovina,37.2
72,Mbabane,Swaziland,37.2
73,Kyiv,Ukraine,37.2
74,Baku,Azerbaijan,37.2
75,Manila,Philippines,37.1
76,Tokyo,Japan,37.1
77,Budapest,Hungary,37.1
78,Paris,France,36.8
79,Chi Chi Khvar,Iran,36.8
80,Seoul,South Korea,36.4
81,Kuala Lumpur,Malaysia,36.4
82,Banjul,Gambia,36.4
83,Valletta,Malta,36.3
84,Nouakchott,Mauritania,36.3
85,Kabul,Afghanistan,36.3
86,Bandar Seri Begawan,Brunei Darussalam,36.0
87,Maseru,Lesotho,35.6
88,Antananarivo,Madagascar,35.5
89,Vienna,Austria,35.5
90,Lilongwe,Malawi,35.4
91,Pyongyang,North Korea,35.3
92,Roseau,Dominica,35.3
93,Bratislava,Slovakia,35.2
94,Rabat,Morocco,35.2
95,Warsaw,Poland,35.2
96,Singapore,Singapore,35.2
97,Windhoek,Namibia,35.1
98,Lom,Bulgaria,35.1
99,Astana,Kazakhstan,35.0
100,Yanngwa,Myanmar,35.0
101,Harare,Zimbabwe,34.8
102,Jakarta,Indonesia,34.4
103,Porto-Novo,Benin,34.4
104,Honiara,Solomon Islands,34.3
105,Colombo,Sri Lanka,34.3
106,Ulaanbaatar,Mongolia,34.3
107,Pretoria,South Africa,34.2
108,Lisbon,Portugal,34.1
109,Ljubljana,Slovenia,34.1
110,Victoria,Seychelles Islands,33.4
111,Phnum Penh,Cambodia,33.4
112,Malabo,Equatorial Guinea,33.4
113,Berlin,Germany,33.3
114,Ngaoundere,Cameroon,33.3
115,Bujumbura,Burundi,33.3
116,Mogadishu,Somalia,33.3
117,Monaco,Monaco,33.3
118,Bras,Brazil,33.3
119,Ho Chi Minh City,Vietnam,33.3
120,Dodoma,Tanzania,33.3
121,Accra,Ghana,33.2
122,Port Louis,Mauritius,33.2
123,San Marino,San Marino,33.1
124,Beirut,Lebanon,33.1
125,Norman Gardens,Jamaica,33.0
126,Bridgetown,Barbados,33.0
127,Conakry,Guinea,33.0
128,Monrovia,Liberia,33.0
129,National,Bolivia,32.9
130,Kampala,Uganda,32.8
131,London,United Kingdom,32.8
132,Bern,Switzerland,32.6
133,Aguaray,Paraguay,32.6
134,Aurora,Paraguay,32.5
135,S. Manian,Vietnam,32.5
136,Kathmandu,Nepal,32.4
137,Moroni,Comoros,32.4
138,Prague,Czech Republic,32.4
139,Minsk,Belarus,32.4
140,Pasto,Paraguay,32.3
141,Port-Au-Prince,Haiti,32.3
142,Aakip,Palau,32.3
143,Tallinn,Estonia,32.3
144,Dakar,Senegal,32.3
145,Basseterre,Saint Kitts and Nevis,32.3
146,Palikir,Micronesia,32.3
147,Moscow,Russia,32.2
148,Surabaya,Indonesia,32.2
149,'S Gravenjansdijk,Belgium,32.2
150,Luanda,Angola,32.2
151,Majuro,Marshall Islands,32.2
152,Achelap,Palau,32.1
153,Port Vila,Vanuatu,32.1
154,Brussels,Belgium,32.1
155,Riga,Latvia,32.1
156,Vientiane,Lao People's Democratic Republic,32.1
157,Belmopan,Belize,32.0
158,Kingstown,Saint Vincent and the Grenadines,32.0
159,Port Of Spain,Trinidad and Tobago,32.0
160,Santo Domingo,Dominican Republic,32.0
161,Nassau,Bahamas,32.0
162,Yaounde,Cameroon,32.0
163,Saint George's,Grenada,32.0
164,Paramaribo,Suriname,32.0
165,Carreria,Paraguay,31.8
166,Laos,Indonesia,31.8
167,Kigali,Rwanda,31.6
168,Funafuti,Tuvalu,31.4
169,Port Moresby,Papua New Guinea,31.4
170,Georgetown,Guyana,31.4
171,Port Royal,Jamaica,31.4
172,Saint John's,Antigua and Barbuda,31.4
173,Koror,Palau,31.4
174,City Of San Marino,San Marino,31.3
175,Praia,Cape Verde,31.3
176,Libreville,Gabon,31.3
177,Managua,Nicaragua,31.3
178,Airai,Palau,31.3
179,Castries,Saint Lucia,31.2
180,Freetown,Sierra Leone,31.2
181,Nuku`Aloia,Tonga,31.2
182,Vilnius,Lithuania,31.2
