feature,importance
latitude,0.3714750209035847
uv_index,0.3061740112736393
pressure_mb,0.13573034368045214
longitude,0.061192442342846536
humidity,0.0364964570867207
air_quality_Carbon_Monoxide,0.01510326307296665
air_quality_Sulphur_dioxide,0.010925879772082005
air_quality_Ozone,0.008683693110322271
air_quality_Nitrogen_dioxide,0.007035704712151492
wind_degree,0.007033683929375961
air_quality_PM10,0.006322585698025539
cloud,0.005606399221225198
air_quality_PM2.5,0.005427802792689638
wind_kph,0.0039064842855850625
precip_mm,0.002750764584526797
moon_illumination,0.002736118942514647
condition_text_Partly cloudy,0.002218119246752896
visibility_km,0.0020414778814861834
condition_text_Other,0.0017493905061639061
gust_kph,0.0016156512104739595
gust_mph,0.0015384716825420808
condition_text_Sunny,0.0005818092531907759
condition_text_Clear,0.0005722726020889059
moon_phase_Waning Gibbous,0.00033932245131094383
moon_phase_Waxing Gibbous,0.00033361801074207074
moon_phase_Waxing Crescent,0.0002357655332790116
moon_phase_Waning Crescent,0.0002073405989876149
condition_text_Light rain,0.0001648200441083087
condition_text_Partly Cloudy,0.00016336171919609905
air_quality_gb-defra-index,0.0001614967644225923
condition_text_Overcast,0.00014251147453341943
condition_text_Patchy rain nearby,0.00011944917947417985
wind_direction_NW,0.00011482119613983349
wind_direction_ESE,0.00011115615763204863
condition_text_Mist,9.563245393981081e-05
wind_direction_S,8.782737340877646e-05
wind_direction_WNW,7.509933810746644e-05
air_quality_us-epa-index,7.459304356957596e-05
wind_direction_W,6.339193243066624e-05
wind_direction_SW,5.697691271274638e-05
wind_direction_NNW,5.589540014921557e-05
wind_direction_N,5.119469571609908e-05
wind_direction_WSW,5.0433944934595004e-05
wind_direction_SSE,4.999295882126195e-05
wind_direction_SE,4.9378207844584866e-05
wind_direction_SSW,4.7517214834626054e-05
wind_direction_NNE,4.4747873748876e-05
wind_direction_E,4.1874165309555635e-05
wind_direction_ENE,3.8470732594726794e-05
wind_direction_NE,3.087975344373317e-05
moon_phase_Full Moon,2.179336413060483e-05
moon_phase_New Moon,1.2785508564360172e-05
moon_phase_Last Quarter,1.2096704094549748e-05
moon_phase_First Quarter,9.41184688692292e-06
condition_text_Fog,7.411478105121038e-06
condition_text_Light rain shower,4.871437590335317e-06
condition_text_Moderate or heavy rain with thunder,3.210736427032622e-06
condition_text_Cloudy,3.0020014014504963e-06
