city,mean_temp_celsius,max_temp_celsius,observation_count
Sanaa,22.13,29.4,775
Bujumbura,25.55,33.3,774
Malabo,26.86,33.4,774
Kyiv,12.27,37.2,774
Baghdad,28.83,49.1,774
Tashkent,22.36,42.3,774
Bern,11.07,32.6,774
Asmara,21.18,28.0,774
Tokyo,19.94,37.1,774
Amman,21.42,41.1,774
Valletta,21.76,36.3,774
Vatican City,18.47,37.7,774
Dakar,24.27,32.3,774
Accra,27.2,33.2,774
N'djamena,29.29,45.0,774
Kabul,19.27,36.3,774
Warsaw,11.73,35.2,774
Suva,24.84,79.3,774
Lusaka,23.62,37.4,773
Lilongwe,23.61,35.4,773
Colombo,30.24,34.3,773
Majuro,28.27,32.2,773
Port Vila,25.2,32.1,773
Pretoria,20.08,34.2,773
Beirut,23.04,33.1,773
Praia,23.85,31.3,773
Muscat,31.82,46.3,773
Belgrade,15.37,40.7,773
Singapore,29.98,35.2,773
Berlin,11.96,33.3,773
Budapest,14.18,37.1,773
Rome,18.49,37.7,773
Luanda,25.88,32.2,773
Sarajevo,12.89,37.2,773
Ljubljana,13.06,34.1,773
Madrid,15.76,38.7,773
Kigali,23.38,31.6,773
Bratislava,13.45,35.2,773
Funafuti,28.84,31.4,773
Seoul,16.97,36.4,773
Moscow,9.81,32.2,773
Gaborone,22.06,38.4,773
Helsinki,8.91,29.1,773
Yerevan,16.87,39.3,773
Kampala,25.03,32.8,773
Windhoek,21.05,35.1,773
Jakarta,30.33,34.4,773
Abu Dhabi,32.27,46.4,773
Abuja,26.96,39.4,773
Ouagadougou,27.88,41.5,773
Honiara,27.47,34.3,773
Nicosia,24.2,41.1,773
Maputo,25.22,37.3,773
Nairobi,21.28,28.4,773
Andorra La Vella,8.82,28.9,773
Amsterdam,12.42,29.7,773
Antananarivo,23.4,35.5,773
Manama,29.72,45.3,773
Moroni,26.67,32.4,773
Nan,30.53,39.3,773
Niamey,29.0,43.0,773
Port Moresby,26.92,31.4,773
Nouakchott,23.33,36.3,772
Hanoi,27.66,39.3,772
Porto-Novo,28.16,34.4,772
Dodoma,24.89,33.3,772
Kuala Lumpur,30.63,36.4,772
Jerusalem,23.1,39.0,772
Libreville,26.63,31.3,772
New Delhi,30.33,44.8,772
Dhaka,31.25,42.2,772
Damascus,21.45,42.3,772
Port Louis,26.7,33.2,772
Paris,13.34,36.8,772
Conakry,26.08,33.0,772
Copenhagen,10.89,27.2,772
Tallinn,9.21,32.3,772
Monrovia,25.82,33.0,772
Wellington,13.99,23.0,772
Vilnius,9.62,31.2,772
Vienna,12.95,35.5,772
