country,mean_temp_celsius,max_temp_celsius,observation_count
Bulgaria,14.63,40.9,1769
Indonesia,28.43,34.4,1548
Thailand,31.25,39.3,1545
Sudan,29.94,44.2,1541
Turkey,16.69,40.3,1541
Bolivia,17.11,32.9,1534
Iran,19.53,39.9,1501
Belgium,12.53,32.2,1450
Madagascar,25.33,41.4,1231
Vietnam,27.27,40.0,1227
Hungary,13.63,37.1,883
Russia,8.9,32.2,827
Switzerland,10.42,32.6,823
Senegal,24.35,32.3,800
Norway,8.1,26.2,781
Kenya,21.29,28.4,775
Eritrea,21.18,28.0,774
Uzbekistan,22.36,42.3,774
Ukraine,12.27,37.2,774
Poland,11.73,35.2,774
Equatorial Guinea,26.86,33.4,774
Iraq,28.83,49.1,774
Japan,19.94,37.1,774
Malta,21.76,36.3,774
Fiji Islands,24.84,79.3,774
Ghana,27.2,33.2,774
Chad,29.29,45.0,774
Jordan,21.42,41.1,774
Vatican City,18.47,37.7,774
Afghanistan,19.27,36.3,774
Australia,15.38,39.1,774
Yemen,22.13,29.4,774
Burundi,25.55,33.3,774
Marshall Islands,28.27,32.2,773
Myanmar,30.92,38.4,773
Botswana,22.06,38.4,773
Bosnia and Herzegovina,12.89,37.2,773
Mozambique,25.22,37.3,773
Zambia,23.62,37.4,773
Finland,8.91,29.1,773
Bahrain,29.72,45.3,773
Slovakia,13.45,35.2,773
Sri Lanka,30.24,34.3,773
Germany,11.96,33.3,773
Serbia,15.37,40.7,773
Spain,15.76,38.7,773
Malawi,23.61,35.4,773
Armenia,16.87,39.3,773
Singapore,29.98,35.2,773
Namibia,21.05,35.1,773
Italy,18.49,37.7,773
Netherlands,12.42,29.7,773
South Africa,20.08,34.2,773
Cape Verde,23.85,31.3,773
Solomon Islands,27.47,34.3,773
Slovenia,13.06,34.1,773
Papua New Guinea,26.92,31.4,773
Andorra,8.82,28.9,773
Vanuatu,25.2,32.1,773
Oman,31.82,46.3,773
Angola,25.88,32.2,773
United Arab Emirates,32.27,46.4,773
Burkina Faso,27.88,41.5,773
Uganda,25.03,32.8,773
Cyprus,24.2,41.1,773
Nigeria,26.96,39.4,773
Tuvalu,28.84,31.4,773
Niger,29.0,43.0,773
Rwanda,23.38,31.6,773
Lebanon,23.04,33.1,772
Kyrghyzstan,17.43,40.1,772
Kuwait,30.96,49.2,772
Liberia,25.82,33.0,772
Cameroon,25.29,33.3,772
Liechtenstein,10.1,29.4,772
Lithuania,9.62,31.2,772
Albania,19.31,39.2,772
Malaysia,30.63,36.4,772
Mali,26.56,42.0,772
Saudi Arabia,30.73,46.3,772
Mauritania,23.33,36.3,772
Kazakhstan,9.29,35.0,772
Saint Lucia,27.03,31.2,772
Mongolia,4.54,34.3,772
Nepal,23.18,32.4,772
New Zealand,13.99,23.0,772
Paraguay,20.91,32.6,772
Philippines,30.48,37.1,772
Mauritius,26.7,33.2,772
Austria,12.95,35.5,772
Guinea,26.08,33.0,772
Turkmenistan,22.82,42.5,772
France,13.34,36.8,772
Syria,21.45,42.3,772
Belarus,9.88,32.4,772
Sweden,9.9,28.2,772
Benin,28.16,34.4,772
Uruguay,14.28,27.2,772
Guinea-Bissau,25.28,38.0,772
Denmark,10.89,27.2,772
Portugal,16.87,34.1,772
Ethiopia,19.52,29.4,772
Tanzania,24.89,33.3,772
Cambodia,32.05,39.9,772
Central African Republic,27.61,37.9,772
Bangladesh,31.25,42.2,772
South Korea,16.95,36.4,772
Israel,23.1,39.0,772
Azerbaijan,18.89,37.2,772
Gabon,26.63,31.3,772
Brunei Darussalam,29.58,36.0,771
Tunisia,21.6,40.6,771
Egypt,25.28,42.4,771
Canada,5.43,29.2,771
Czech Republic,11.14,32.4,771
North Korea,14.65,35.3,771
United Kingdom,12.24,32.8,771
Estonia,9.19,32.3,771
Pakistan,28.62,45.0,771
Palau,28.43,32.3,771
China,18.55,38.3,771
Venezuela,22.43,31.0,771
Romania,15.61,40.2,771
Algeria,20.2,38.2,771
Tonga,23.97,31.2,771
Qatar,32.43,46.3,771
Morocco,18.42,35.2,771
Iceland,5.59,17.2,771
Somalia,28.78,33.3,771
Bhutan,13.62,23.8,771
Saint Kitts and Nevis,26.6,32.3,771
Latvia,9.9,32.1,771
Kiribati,28.05,29.7,771
Zimbabwe,22.43,34.8,771
Argentina,14.63,27.3,771
Tajikistan,22.67,43.2,771
Montenegro,18.7,40.2,771
India,30.33,44.8,771
Lesotho,18.47,35.6,771
Barbados,27.0,33.0,771
Seychelles Islands,28.86,33.4,770
Sierra Leone,25.87,31.2,770
Suriname,24.35,32.0,770
Saint Vincent and the Grenadines,27.24,32.0,770
Trinidad and Tobago,25.16,32.0,770
San Marino,16.85,33.1,770
Luxembourg,10.92,30.5,770
Georgia,17.21,37.4,770
Maldives,27.95,29.8,770
Croatia,14.18,38.8,770
Democratic Republic of Congo,26.25,37.8,770
Comoros,26.69,32.4,770
Djibouti,31.37,47.1,770
Dominican Republic,23.94,32.0,770
Chile,10.96,23.2,770
Congo,26.36,37.5,770
Ireland,10.89,23.2,770
Jamaica,26.82,33.0,770
Haiti,21.32,32.3,770
Panama,25.52,30.0,770
Micronesia,28.26,32.3,770
Antigua and Barbuda,26.31,31.4,769
Guyana,24.6,31.4,769
Cuba,22.75,31.0,769
Monaco,17.92,33.3,769
Dominica,26.52,35.3,769
Timor-Leste,26.46,29.1,769
Gambia,24.73,36.4,769
Greece,21.8,39.3,769
United States of America,8.93,26.1,769
Brazil,24.06,33.3,769
Mexico,14.74,23.0,769
Peru,18.11,24.3,768
Ecuador,10.44,18.9,768
Honduras,19.41,27.0,768
Belize,22.15,32.0,768
Macedonia,16.63,41.4,767
Nicaragua,24.51,31.3,767
Bahamas,24.7,32.0,767
Grenada,27.07,32.0,767
Samoa,26.08,29.4,767
Guatemala,17.31,25.0,766
El Salvador,23.52,30.0,766
Costa Rica,19.21,27.0,765
Swaziland,21.35,37.2,745
Cote d'Ivoire,22.92,26.3,311
USA United States of America,24.53,28.2,3
Lao People's Democratic Republic,28.55,32.1,2
Togo,27.1,27.9,2
Kosovo,21.75,29.3,2
Libya,26.35,27.0,2
Colombia,13.9,14.3,2
Bélgica,17.4,17.4,1
كولومبيا,23.1,23.1,1
Гватемала,15.9,15.9,1
Польша,24.2,24.2,1
Турция,34.0,34.0,1
