feature,rf_importance,rf_rank,ridge_importance_normalized,ridge_rank
latitude,0.36231832699888256,1.0,0.05676522870506164,7.0
uv_index,0.2930487585703279,2.0,0.05054280334025966,8.0
pressure_in,0.12962392861239735,3.0,0.23225274311854868,1.0
longitude,0.06071931167836224,4.0,0.0,0.0
humidity,0.040054749559327515,5.0,0.0,0.0
air_quality_Carbon_Monoxide,0.018436157047903995,6.0,0.0,0.0
air_quality_Sulphur_dioxide,0.01358222650533791,7.0,0.0,0.0
air_quality_Ozone,0.012342011610325668,8.0,0.0,0.0
gust_kph,0.0,0.0,0.07405687218142958,3.0
gust_mph,0.0,0.0,0.06660358067100547,6.0
pressure_mb,0.0,0.0,0.18778766979409367,2.0
wind_kph,0.0,0.0,0.07247064750743488,4.0
wind_mph,0.0,0.0,0.07094003335916783,5.0
